p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.48913647383968e-39,1.00997065081635,0.347,0.292,7.46740942151903e-36,0,SEZ6L
1.43458070275995e-38,9.57661974538621,0.316,0.234,4.30374210827986e-35,0,SH3BP2
2.00850553441309e-38,3.30990742457681,0.249,0.256,6.02551660323927e-35,0,LRRC9
3.2014316857212e-38,1.27798394685938,0.273,0.16,9.6042950571636e-35,0,PRSS12
5.69612436443712e-38,1.31731433480903,0.365,0.209,1.70883730933114e-34,0,KCNH8
1.00785505234728e-37,1.22808625733125,0.27,0.258,3.02356515704184e-34,0,ZSWIM3
3.008308114764e-37,1.0239745335153,0.237,0.286,9.02492434429201e-34,0,TAFA5
4.43975491171054e-37,1.13759545136286,0.113,0.253,1.33192647351316e-33,0,NMRAL1
3.7893860583547e-36,0.576909739575905,0.365,0.312,1.13681581750641e-32,0,LRRC8A
3.18148376399867e-35,4.39945638540528,0.284,0.196,9.544451291996e-32,0,FN1
6.86925273901014e-35,0.443974446724285,0.284,0.25,2.06077582170304e-31,0,RWDD2B
8.221778722482e-35,1.22366076708595,0.401,0.306,2.4665336167446e-31,0,PSD3
1.41099992137462e-34,0.736449941275819,0.253,0.26,4.23299976412385e-31,0,PTH1R
2.56072255123327e-34,0.926791269595092,0.286,0.241,7.6821676536998e-31,0,MAP7D2
5.03067779174581e-34,1.44109043282775,0.337,0.26,1.50920333752374e-30,0,ARFGEF3
5.6534849584614e-34,0.660001667886332,0.276,0.239,1.69604548753842e-30,0,INSYN1
2.27949239883973e-33,0.672334805084461,0.276,0.236,6.83847719651919e-30,0,SSPN
8.22738564499386e-33,1.6210711298608,0.3,0.387,2.46821569349816e-29,0,TMA7
3.07783907246664e-32,0.466086171870137,0.275,0.22,9.23351721739991e-29,0,REP15
1.08443611551677e-31,0.331444762233049,0.299,0.193,3.25330834655032e-28,0,MALRD1
2.68434336013881e-31,0.848931932472839,0.325,0.235,8.05303008041642e-28,0,USH2A
9.00836350346316e-31,1.44291258750513,0.293,0.192,2.70250905103895e-27,0,ITGA9
9.45031933809735e-30,0.299758933864231,0.465,0.407,2.8350958014292e-26,0,SGIP1
8.56265831861888e-29,1.56856800130542,0.308,0.249,2.56879749558567e-25,0,GLRA1
3.22792858355777e-28,1.1176519350062,0.309,0.227,9.6837857506733e-25,0,PHKG1
7.50434247667823e-28,2.37031235303512,0.206,0.293,2.25130274300347e-24,0,TAF12
1.1811840202549e-27,0.27011117021301,0.424,0.374,3.5435520607647e-24,0,KIF21A
